h1|h2|h3|ind|
"Población y demografía"|"Población extranjera"|"-"|"Población extranjera: Hombres - Oceanía y apátridas"|
"Población y demografía"|"Población extranjera"|"-"|"Población extranjera de Europa: Hombres - Unión Europea (27)"|
"Población y demografía"|"Población extranjera"|"-"|"Población extranjera de Europa: Hombres - Resto de Europa"|
"Población y demografía"|"Población extranjera"|"-"|"Población extranjera: Mujeres - Europa"|
"Población y demografía"|"Población extranjera"|"-"|"Población extranjera: Mujeres - África"|
"Población y demografía"|"Población extranjera"|"-"|"Población extranjera: Mujeres - América"|
"Población y demografía"|"Población extranjera"|"-"|"Población extranjera: Mujeres - Asia"|
"Población y demografía"|"Población extranjera"|"-"|"Población extranjera: Mujeres - Oceanía y apátridas"|
"Población y demografía"|"Población extranjera"|"-"|"Población extranjera de Europa: Mujeres - Unión Europea (27)"|
"Población y demografía"|"Población extranjera"|"-"|"Población extranjera de Europa: Mujeres - Resto de Europa"|
"Población y demografía"|"Población extranjera"|"-"|"Población extranjera: Menores de 16 años"|
"Población y demografía"|"Población extranjera"|"-"|"Población extranjera: De 16 a 64 años"|
"Población y demografía"|"Población extranjera"|"-"|"Población extranjera: De 65 y más años"|
"Población y demografía"|"Población extranjera"|"-"|"Población extranjera: Hombres menores de 16 años"|
"Población y demografía"|"Población extranjera"|"-"|"Población extranjera: Hombres de 16 a 64 años"|
"Población y demografía"|"Población extranjera"|"-"|"Población extranjera: Hombres de 65 y más años"|
"Población y demografía"|"Población extranjera"|"-"|"Población extranjera: Mujeres menores de 16 años"|
"Población y demografía"|"Población extranjera"|"-"|"Población extranjera: Mujeres de 16 a 64 años"|
"Población y demografía"|"Población extranjera"|"-"|"Población extranjera: Mujeres de 65 y más años"|
"Población y demografía"|"Población extranjera"|"-"|"Porcentaje de población extranjera"|
"Población y demografía"|"Población por lugar de nacimento"|"-"|"Población por lugar de nacimiento: España"|
"Población y demografía"|"Población por lugar de nacimento"|"-"|"Población por lugar de nacimiento: Misma comunidad"|
"Población y demografía"|"Población por lugar de nacimento"|"-"|"Población por lugar de nacimiento: Misma comunidad y misma provincia"|
"Población y demografía"|"Población por lugar de nacimento"|"-"|"Población por lugar de nacimiento: Mismo municipio"|
"Población y demografía"|"Población por lugar de nacimento"|"-"|"Población por lugar de nacimiento: Misma comunidad, misma provincia y distinto municipio"|
"Población y demografía"|"Población por lugar de nacimento"|"-"|"Población por lugar de nacimiento: Misma comunidad, distinta provincia"|
"Población y demografía"|"Población por lugar de nacimento"|"-"|"Población por lugar de nacimiento: Distinta comunidad"|
"Población y demografía"|"Población por lugar de nacimento"|"-"|"Población por lugar de nacimiento: Extranjero"|
"Población y demografía"|"Movimiento natural de la población"|"-"|"Nacimientos"|
"Población y demografía"|"Movimiento natural de la población"|"-"|"Defunciones"|
"Población y demografía"|"Movimiento natural de la población"|"-"|"Matrimonios"|
"Población y demografía"|"Movimiento natural de la población"|"-"|"Crecimiento vegetativo"|
"Población y demografía"|"Movimiento natural de la población"|"-"|"Tasa bruta de natalidad (‰ habitantes)"|
"Población y demografía"|"Movimiento natural de la población"|"-"|"Tasa bruta de mortalidad (‰ habitantes)"|
"Población y demografía"|"Movimiento natural de la población"|"-"|"Tasa bruta de nupcialidad (‰ habitantes)"|
"Población y demografía"|"Movimiento natural de la población"|"-"|"Tasa general de fecundidad (Nacidos/ Mujeres 15 a 49) (‰ habitantes)"|
"Población y demografía"|"Población por estado civil"|"-"|"Población por estado civil: Soltero"|
"Población y demografía"|"Población por estado civil"|"-"|"Población por estado civil: Casado"|
"Población y demografía"|"Población por estado civil"|"-"|"Población por estado civil: Viudo"|
"Población y demografía"|"Población por estado civil"|"-"|"Población por estado civil: Separado"|
"Población y demografía"|"Población por estado civil"|"-"|"Población por estado civil: Divorciado"|
"Población y demografía"|"Familias"|"-"|"Número de familias monoparentales"|
"Población y demografía"|"Familias"|"-"|"Personas menores de 65 años que viven solas: Hombres"|
"Población y demografía"|"Familias"|"-"|"Personas menores de 65 años que viven solas: Mujeres"|
"Población y demografía"|"Movimientos migratorios"|"-"|"Inmigración (fuera de la CAV)"|
"Población y demografía"|"Movimientos migratorios"|"-"|"Emigración (fuera de la CAV)"|
"Población y demografía"|"Movimientos migratorios"|"-"|"Saldo migratorio externo"|
"Población y demografía"|"Movimientos migratorios"|"-"|"Migraciones internas destino (llegan de otro municipio de la CAV)"|
"Población y demografía"|"Movimientos migratorios"|"-"|"Migraciones internas origen (salen a otro municipio de la CAV)"|
"Población y demografía"|"Movimientos migratorios"|"-"|"Saldo migratorio interno"|
"Población y demografía"|"Movimientos migratorios"|"-"|"Migraciones intramunicipales (cambio de residencia dentro del municipio)"|
"Urbanismo y vivienda"|"Edificios"|"-"|"Edificios totales"|
"Urbanismo y vivienda"|"Edificios"|"-"|"Edificios con una vivienda familiar"|
"Urbanismo y vivienda"|"Edificios"|"-"|"Edificios con varias viviendas familiares"|
"Urbanismo y vivienda"|"Edificios"|"-"|"Edificios principalmente con viviendas familiares compartido con locales"|
"Urbanismo y vivienda"|"Edificios"|"-"|"Edificios principalmente con locales compartidos con alguna vivienda"|
"Urbanismo y vivienda"|"Edificios"|"-"|"Edificios destinados principalmente a locales"|
"Urbanismo y vivienda"|"Edificios"|"-"|"Edificios destinados principalmente a vivienda colectiva"|
"Urbanismo y vivienda"|"Edificios"|"-"|"Edificios destinados principalmente a alojamientos"|
"Urbanismo y vivienda"|"Edificios"|"-"|"Edificios en estado bueno"|
"Urbanismo y vivienda"|"Edificios"|"-"|"Edificios en estado deficiente"|
"Urbanismo y vivienda"|"Edificios"|"-"|"Edificios en estado malo"|
"Urbanismo y vivienda"|"Edificios"|"-"|"Edificios en estado ruinoso"|
"Urbanismo y vivienda"|"Edificios"|"-"|"% Edificios y equipamientos accesibles"|
"Urbanismo y vivienda"|"Viviendas"|"-"|"Viviendas totales"|
"Urbanismo y vivienda"|"Viviendas familiares"|"-"|"Viviendas colectivas"|
"Urbanismo y vivienda"|"Viviendas familiares"|"-"|"Viviendas familiares principales"|
"Urbanismo y vivienda"|"Viviendas familiares"|"-"|"Viviendas familiares principales: Convencionales"|
"Urbanismo y vivienda"|"Viviendas familiares"|"-"|"Viviendas familiares principales: Alojamientos"|
"Urbanismo y vivienda"|"Viviendas familiares"|"-"|"Viviendas familiares no principales"|
"Urbanismo y vivienda"|"Viviendas familiares"|"-"|"Viviendas familiares no principales: Secundarias"|
"Urbanismo y vivienda"|"Viviendas familiares"|"-"|"Viviendas familiares no principales: Desocupadas"|
"Urbanismo y vivienda"|"Viviendas familiares"|"-"|"Viviendas familiares no principales: Otro tipo"|
"Urbanismo y vivienda"|"Viviendas familiares"|"-"|"Viviendas familiares2"|
"Urbanismo y vivienda"|"Viviendas familiares"|"-"|"% Viviendas familiares principales con agua corriente"|
"Urbanismo y vivienda"|"Viviendas familiares"|"-"|"% Viviendas familiares principales con agua caliente central"|
"Urbanismo y vivienda"|"Viviendas familiares"|"-"|"% Viviendas familiares principales con calefacción"|
"Urbanismo y vivienda"|"Viviendas familiares"|"-"|"% Viviendas familiares principales con teléfono"|
"Urbanismo y vivienda"|"Viviendas familiares"|"-"|"% Viviendas familiares principales con gas por tubería"|
"Urbanismo y vivienda"|"Viviendas familiares"|"-"|"Índice de confort de la vivienda"|
"Urbanismo y vivienda"|"Viviendas familiares"|"-"|"Viviendas familiares en zona urbana"|
"Urbanismo y vivienda"|"Viviendas familiares"|"-"|"Viviendas familiares en zona intermedia"|
"Urbanismo y vivienda"|"Viviendas familiares"|"-"|"Viviendas familiares en zona rural"|
"Urbanismo y vivienda"|"Viviendas familiares"|"-"|"Viviendas familiares principales en zona urbana"|
"Urbanismo y vivienda"|"Viviendas familiares"|"-"|"Viviendas familiares principales en zona intermedia"|
"Urbanismo y vivienda"|"Viviendas familiares"|"-"|"Viviendas familiares principales en zona rural"|
"Urbanismo y vivienda"|"Viviendas familiares"|"-"|"Viviendas familiares no principales en zona urbana"|
"Urbanismo y vivienda"|"Viviendas familiares"|"-"|"Viviendas familiares no principales en zona intermedia"|
"Urbanismo y vivienda"|"Viviendas familiares"|"-"|"Viviendas familiares no principales en zona rural"|
"Urbanismo y vivienda"|"Viviendas protegidas"|"-"|"Viviendas protegidas iniciadas"|
"Urbanismo y vivienda"|"Viviendas protegidas"|"-"|"Viviendas protegidas iniciadas: Viviendas de protección oficial"|
"Urbanismo y vivienda"|"Viviendas protegidas"|"-"|"Viviendas protegidas iniciadas: Viviendas sociales"|
"Urbanismo y vivienda"|"Viviendas protegidas"|"-"|"Viviendas protegidas terminadas"|
"Urbanismo y vivienda"|"Viviendas protegidas"|"-"|"Viviendas protegidas terminadas: Viviendas de protección oficial"|
"Urbanismo y vivienda"|"Viviendas protegidas"|"-"|"Viviendas protegidas terminadas: Viviendas sociales"|
"Urbanismo y vivienda"|"Viviendas protegidas"|"-"|"Solicitudes de vivienda que constan en Etxebide (‰ habitantes)"|
"Urbanismo y vivienda"|"Viviendas protegidas"|"-"|"Viviendas protegidas adjudicadas por Etxebide en el último quinquenio (‰ habitantes)"|
"Urbanismo y vivienda"|"Precio medio de la vivienda"|"-"|"Precio medio de la vivienda libre (nueva y usada) (€ / m²)"|
"Urbanismo y vivienda"|"Precio medio de la vivienda"|"-"|"Precio medio de la vivienda nueva de protección oficial (€ / m²)"|
"Urbanismo y vivienda"|"Precio medio de la vivienda"|"-"|"Precio medio de vivienda nueva libre (€ / m²)"|
"Urbanismo y vivienda"|"Precio medio de la vivienda"|"-"|"Precio medio de vivienda usada (€ / m²)"|
"Urbanismo y vivienda"|"Hogares"|"-"|"Hogares totales"|
"Urbanismo y vivienda"|"Hogares"|"-"|"Hogares en propiedad por compra, totalmente pagada"|
"Urbanismo y vivienda"|"Hogares"|"-"|"Hogares en propiedad por compra, con pagos pendientes (hipotecas)"|
"Urbanismo y vivienda"|"Hogares"|"-"|"Hogares en propiedad por herencia o donación"|
"Urbanismo y vivienda"|"Hogares"|"-"|"Hogares en alquiler"|
"Urbanismo y vivienda"|"Hogares"|"-"|"Hogares cedidos gratis o bajo precio por otro hogar, la empresa"|
"Urbanismo y vivienda"|"Hogares"|"-"|"Hogares de otra forma"|
"Urbanismo y vivienda"|"Hogares"|"-"|"Hogares con segunda vivienda"|
"Urbanismo y vivienda"|"Hogares"|"-"|"% Hogares con segunda vivienda"|
"Urbanismo y vivienda"|"Hogares"|"-"|"Hogares en propiedad"|
"Urbanismo y vivienda"|"Hogares"|"-"|"Hogares según edad de la persona de referencia: Menor de 25 años"|
"Urbanismo y vivienda"|"Hogares"|"-"|"Hogares según edad de la persona de referencia: De 25 a 29 años"|
"Urbanismo y vivienda"|"Hogares"|"-"|"Hogares según edad de la persona de referencia: De 30 a 34 años"|
"Urbanismo y vivienda"|"Hogares"|"-"|"Hogares según edad de la persona de referencia: De 35 a 44 años"|
"Urbanismo y vivienda"|"Hogares"|"-"|"Hogares según edad de la persona de referencia: De 45 a 54 años"|
"Urbanismo y vivienda"|"Hogares"|"-"|"Hogares según edad de la persona de referencia: De 55 a 64 años"|
"Urbanismo y vivienda"|"Hogares"|"-"|"Hogares según edad de la persona de referencia: De 65 a 74 años"|
"Urbanismo y vivienda"|"Hogares"|"-"|"Hogares según edad de la persona de referencia: De 75 o más años"|
"Urbanismo y vivienda"|"Hogares"|"-"|"Hogares según sexo de la persona de referencia: Hombres"|
"Urbanismo y vivienda"|"Hogares"|"-"|"Hogares según sexo de la persona de referencia: Mujeres"|
"Urbanismo y vivienda"|"Locales"|"-"|"Locales totales"|
"Urbanismo y vivienda"|"Locales"|"-"|"Locales activos"|
"Urbanismo y vivienda"|"Locales"|"-"|"Locales inactivos"|
"Urbanismo y vivienda"|"Locales"|"-"|"Locales activos: Equipamientos de salud (ambulatorios, hospitales)"|
"Urbanismo y vivienda"|"Locales"|"-"|"Locales activos: Equipamientos educativos (colegios, guarderías)"|
"Urbanismo y vivienda"|"Locales"|"-"|"Locales activos: Equipamientos de bienestar social (club de ancianos, centros de día)"|
"Urbanismo y vivienda"|"Locales"|"-"|"Locales activos: Equipamientos de culturales o deportivos (teatro, cine)"|
"Urbanismo y vivienda"|"Locales"|"-"|"Locales activos: Locales comerciales"|
"Urbanismo y vivienda"|"Locales"|"-"|"Locales activos: Oficinas"|
"Urbanismo y vivienda"|"Locales"|"-"|"Locales activos: Local industrial"|
"Urbanismo y vivienda"|"Locales"|"-"|"Locales activos: Local agrario"|
"Urbanismo y vivienda"|"Equipamiento del hogar"|"-"|"% Familias con ordenador en casa"|
"Urbanismo y vivienda"|"Equipamiento del hogar"|"-"|"% Familias con internet"|
"Urbanismo y vivienda"|"Equipamiento del hogar"|"-"|"% Familias con e-mail"|
"Urbanismo y vivienda"|"Equipamiento del hogar"|"-"|"% Familias con video"|
"Urbanismo y vivienda"|"Equipamiento del hogar"|"-"|"% Familias con TV con teletexto"|
"Urbanismo y vivienda"|"Equipamiento del hogar"|"-"|"% Familias con antena parabólica"|
"Urbanismo y vivienda"|"Equipamiento del hogar"|"-"|"% Familias con TV de pago"|
"Urbanismo y vivienda"|"Equipamiento del hogar"|"-"|"% Familias con TV por cable"|
"Urbanismo y vivienda"|"Equipamiento del hogar"|"-"|"% Familias con teléfono móvil"|
"Urbanismo y vivienda"|"Suelo, densidad de vivienda y licencias"|"-"|"% Suelo urbano"|
"Urbanismo y vivienda"|"Suelo, densidad de vivienda y licencias"|"-"|"% Superficie residencial urbanizable"|
"Urbanismo y vivienda"|"Suelo, densidad de vivienda y licencias"|"-"|"Densidad de viviendas en suelo residencial (viviendas/ha)"|
"Urbanismo y vivienda"|"Suelo, densidad de vivienda y licencias"|"-"|"Licencias de vivienda nueva concedidas en el último quinquenio (‰ habitantes)"|
"Urbanismo y vivienda"|"Viviendas en alquiler o venta"|"-"|"Viviendas libres en alquiler (media anual)"|
"Urbanismo y vivienda"|"Viviendas en alquiler o venta"|"-"|"Viviendas usadas en venta (media anual)"|
"Urbanismo y vivienda"|"Viviendas en alquiler o venta"|"-"|"Viviendas nuevas en venta (media anual)"|
"Educación y formación"|"Alumnos por nivel educativo"|"-"|"Alumnos en Infantil"|
"Educación y formación"|"Alumnos por nivel educativo"|"-"|"Alumnos en Primaria"|
"Educación y formación"|"Alumnos por nivel educativo"|"-"|"Alumnos en ESO"|
"Educación y formación"|"Alumnos por nivel educativo"|"-"|"Alumnos en Bachiller"|
"Educación y formación"|"Alumnos por nivel educativo"|"-"|"Alumnos en FP"|
"Educación y formación"|"Alumnos por nivel educativo"|"-"|"Alumnos en Educación para adultos"|
"Educación y formación"|"Alumnos según modelo de enseñanza bilingüe"|"-"|"Alumnos de enseñanza bilingüe: Modelo A-X"|
"Educación y formación"|"Alumnos según modelo de enseñanza bilingüe"|"-"|"Alumnos de enseñanza bilingüe: Modelo B"|
"Educación y formación"|"Alumnos según modelo de enseñanza bilingüe"|"-"|"Alumnos de enseñanza bilingüe: Modelo D"|
"Educación y formación"|"Población de 16 años y más años por nivel de instrucción"|"-"|"Población de 16 y más años"|
"Educación y formación"|"Población de 16 años y más años por nivel de instrucción"|"-"|"Población de 16 y más años hombres"|
"Educación y formación"|"Población de 16 años y más años por nivel de instrucción"|"-"|"Población de 16 y más años mujeres"|
"Educación y formación"|"Población de 16 años y más años por nivel de instrucción"|"-"|"Población de 16 y más años: Analfabeta"|
"Educación y formación"|"Población de 16 años y más años por nivel de instrucción"|"-"|"Población de 16 y más años: Sin estudios"|
"Educación y formación"|"Población de 16 años y más años por nivel de instrucción"|"-"|"Población de 16 y más años: Primer grado"|
"Educación y formación"|"Población de 16 años y más años por nivel de instrucción"|"-"|"Población de 16 y más años: Segundo grado"|
"Educación y formación"|"Población de 16 años y más años por nivel de instrucción"|"-"|"Población de 16 y más años: Tercer grado"|
"Educación y formación"|"Población de 16 años y más años por nivel de instrucción"|"-"|"% Población de 16 y más años: Analfabeta"|
"Educación y formación"|"Población de 16 años y más años por nivel de instrucción"|"-"|"% Población de 16 y más años: Sin estudios"|
"Educación y formación"|"Población de 16 años y más años por nivel de instrucción"|"-"|"% Población de 16 y más años: Primer grado"|
"Educación y formación"|"Población de 16 años y más años por nivel de instrucción"|"-"|"% Población de 16 y más años: Segundo grado"|
