h1|h2|h3|ind|
"Lurraldea eta ingurumena"|"Energia"|"Energia2"|"Jarritako potentzia eolikoa (kw / 10.000 biz)"|
"Lurraldea eta ingurumena"|"Energia"|"Energia2"|"Jarritako potentzia hidraulikoa (kw / 10.000 biz)"|
"Lurraldea eta ingurumena"|"Energia"|"Energia2"|"Jarritako eguzki-azalera termikoa (m² / 10.000 biztanleko)"|
"Lurraldea eta ingurumena"|"Energia"|"Energia2"|"Urteko elektrizitate-kontsumoa biztanleko (Kwh./bizt.)"|
"Lurraldea eta ingurumena"|"Energia"|"Energia2"|"Industria sektorearen urteko elektrizitate-kontsumoa biztanleko (Kwh./bizt.)"|
"Lurraldea eta ingurumena"|"Energia"|"Energia2"|"Industria ez den sektorearen urteko elektrizitate-kontsumoa biztanleko (Kwh./bizt.)"|
"Lurraldea eta ingurumena"|"Ingurumen-kontzientzia"|"Ingurumen-kontzientzia2"|"Ingurumen egiaztapena daukaten establezimenduen %"|
"Lurraldea eta ingurumena"|"Ingurumen-kontzientzia"|"Ingurumen-kontzientzia2"|"Energia eraginkortasuneko egiaztapena daukaten etxebizitzen % (etxebizitza guztien %)"|
"Lurraldea eta ingurumena"|"Abeltzaintza"|"Behi-aziendak"|"Behi-aziendak2"|
"Lurraldea eta ingurumena"|"Abeltzaintza"|"Behi-aziendak"|"Behi-aziendak: 2 urtetik gorako arrak"|
"Lurraldea eta ingurumena"|"Abeltzaintza"|"Behi-aziendak"|"Behi-aziendak: Haragitarako 1-2 urte arteko emeak"|
"Lurraldea eta ingurumena"|"Abeltzaintza"|"Behi-aziendak"|"Behi-aziendak: Esnetarako 1-2 urte arteko emeak"|
"Lurraldea eta ingurumena"|"Abeltzaintza"|"Behi-aziendak"|"Behi-aziendak: Jezteko ez diren 2 urtetik gorako emeak"|
"Lurraldea eta ingurumena"|"Abeltzaintza"|"Behi-aziendak"|"Behi-aziendak: Jezteko 2 urtetik gorako emeak"|
"Lurraldea eta ingurumena"|"Abeltzaintza"|"Ardi-aziendak"|"Ardi-aziendak2"|
"Lurraldea eta ingurumena"|"Abeltzaintza"|"Ardi-aziendak"|"Ardi-aziendak: 1-2 urte arteko emeak"|
"Lurraldea eta ingurumena"|"Abeltzaintza"|"Ardi-aziendak"|"Ardi-aziendak: Esnetarako 2 urtetik gorako emeak"|
"Lurraldea eta ingurumena"|"Abeltzaintza"|"Ardi-aziendak"|"Ardi-aziendak: Haragitarako 2 urtetik gorako emeak"|
"Lurraldea eta ingurumena"|"Abeltzaintza"|"Ahuntz-aziendak"|"Ahuntz-aziendak2"|
"Lurraldea eta ingurumena"|"Abeltzaintza"|"Ahuntz-aziendak"|"Ahuntz-aziendak: 1-2 urte arteko emeak"|
"Lurraldea eta ingurumena"|"Abeltzaintza"|"Ahuntz-aziendak"|"Ahuntz-aziendak: Esnetarako 2 urtetik gorako emeak"|
"Lurraldea eta ingurumena"|"Abeltzaintza"|"Ahuntz-aziendak"|"Ahuntz-aziendak: Haragitarako 2 urtetik gorako emeak"|
"Lurraldea eta ingurumena"|"Airea"|"Airearen kalitatea"|"Aire kalitate oneko edo baleko egunak (egun guztien %)"|
"Biztanleria eta demografia"|"Biztanleria"|"-"|"Biztanleria orokorra"|
"Biztanleria eta demografia"|"Biztanleria"|"-"|"Biztanleria: gizonezkoak"|
"Biztanleria eta demografia"|"Biztanleria"|"-"|"Biztanleria: emakumezkoak"|
"Biztanleria eta demografia"|"Biztanleria"|"-"|"0-4 urte arteko Biztanleria Orokorra"|
"Biztanleria eta demografia"|"Biztanleria"|"-"|"5-9 urte arteko Biztanleria Orokorra"|
"Biztanleria eta demografia"|"Biztanleria"|"-"|"10-14 urte arteko Biztanleria Orokorra"|
"Biztanleria eta demografia"|"Biztanleria"|"-"|"15-19 urte arteko Biztanleria Orokorra"|
"Biztanleria eta demografia"|"Biztanleria"|"-"|"20-24 urte arteko Biztanleria Orokorra"|
"Biztanleria eta demografia"|"Biztanleria"|"-"|"25-30 urte arteko Biztanleria Orokorra"|
"Biztanleria eta demografia"|"Biztanleria"|"-"|"31-34 urte arteko Biztanleria Orokorra"|
"Biztanleria eta demografia"|"Biztanleria"|"-"|"35-39 urte arteko Biztanleria Orokorra"|
"Biztanleria eta demografia"|"Biztanleria"|"-"|"40-44 urte arteko Biztanleria Orokorra"|
"Biztanleria eta demografia"|"Biztanleria"|"-"|"45-49 urte arteko Biztanleria Orokorra"|
"Biztanleria eta demografia"|"Biztanleria"|"-"|"50-51 urte arteko Biztanleria Orokorra"|
"Biztanleria eta demografia"|"Biztanleria"|"-"|"55-59 urte arteko Biztanleria Orokorra"|
"Biztanleria eta demografia"|"Biztanleria"|"-"|"60-64 urte arteko Biztanleria Orokorra"|
"Biztanleria eta demografia"|"Biztanleria"|"-"|"65-69 urte arteko Biztanleria Orokorra"|
"Biztanleria eta demografia"|"Biztanleria"|"-"|"70-74 urte arteko Biztanleria Orokorra"|
"Biztanleria eta demografia"|"Biztanleria"|"-"|"75-79 urte arteko Biztanleria Orokorra"|
"Biztanleria eta demografia"|"Biztanleria"|"-"|"80-84 urte arteko Biztanleria Orokorra"|
"Biztanleria eta demografia"|"Biztanleria"|"-"|"85 urte eta gehiagoko Biztanleria Orokorra"|
"Biztanleria eta demografia"|"Biztanleria"|"-"|"0-4 urte arteko Gizonezkoak"|
"Biztanleria eta demografia"|"Biztanleria"|"-"|"5-9 urte arteko Gizonezkoak"|
"Biztanleria eta demografia"|"Biztanleria"|"-"|"10-14 urte arteko Gizonezkoak"|
"Biztanleria eta demografia"|"Biztanleria"|"-"|"15-19 urte arteko Gizonezkoak"|
"Biztanleria eta demografia"|"Biztanleria"|"-"|"20-24 urte arteko Gizonezkoak"|
"Biztanleria eta demografia"|"Biztanleria"|"-"|"25-29 urte arteko Gizonezkoak"|
"Biztanleria eta demografia"|"Biztanleria"|"-"|"30-34 urte arteko Gizonezkoak"|
"Biztanleria eta demografia"|"Biztanleria"|"-"|"35-39 urte arteko Gizonezkoak"|
"Biztanleria eta demografia"|"Biztanleria"|"-"|"40-44 urte arteko Gizonezkoak"|
"Biztanleria eta demografia"|"Biztanleria"|"-"|"45-49 urte arteko Gizonezkoak"|
"Biztanleria eta demografia"|"Biztanleria"|"-"|"50-54 urte arteko Gizonezkoak"|
"Biztanleria eta demografia"|"Biztanleria"|"-"|"55-59 urte arteko Gizonezkoak"|
"Biztanleria eta demografia"|"Biztanleria"|"-"|"60-64 urte arteko Gizonezkoak"|
"Biztanleria eta demografia"|"Biztanleria"|"-"|"65-69 urte arteko Gizonezkoak"|
"Biztanleria eta demografia"|"Biztanleria"|"-"|"70-74 urte arteko Gizonezkoak"|
"Biztanleria eta demografia"|"Biztanleria"|"-"|"75-79 urte arteko Gizonezkoak"|
"Biztanleria eta demografia"|"Biztanleria"|"-"|"80-84 urte arteko Gizonezkoak"|
"Biztanleria eta demografia"|"Biztanleria"|"-"|"85 urte eta gehiagoko Gizonezkoak"|
"Biztanleria eta demografia"|"Biztanleria"|"-"|"0-4 urte arteko Emakumezkoak"|
"Biztanleria eta demografia"|"Biztanleria"|"-"|"5-9 urte arteko Emakumezkoak"|
"Biztanleria eta demografia"|"Biztanleria"|"-"|"10-14 urte arteko Emakumezkoak"|
"Biztanleria eta demografia"|"Biztanleria"|"-"|"15-19 urte arteko Emakumezkoak"|
"Biztanleria eta demografia"|"Biztanleria"|"-"|"20-24 urte arteko Emakumezkoak"|
"Biztanleria eta demografia"|"Biztanleria"|"-"|"25-29 urte arteko Emakumezkoak"|
"Biztanleria eta demografia"|"Biztanleria"|"-"|"30-34 urte arteko Emakumezkoak"|
"Biztanleria eta demografia"|"Biztanleria"|"-"|"35-39 urte arteko Emakumezkoak"|
"Biztanleria eta demografia"|"Biztanleria"|"-"|"40-44 urte arteko Emakumezkoak"|
"Biztanleria eta demografia"|"Biztanleria"|"-"|"45-49 urte arteko Emakumezkoak"|
"Biztanleria eta demografia"|"Biztanleria"|"-"|"50-54 urte arteko Emakumezkoak"|
"Biztanleria eta demografia"|"Biztanleria"|"-"|"55-59 urte arteko Emakumezkoak"|
"Biztanleria eta demografia"|"Biztanleria"|"-"|"60-64 urte arteko Emakumezkoak"|
"Biztanleria eta demografia"|"Biztanleria"|"-"|"65-69 urte arteko Emakumezkoak"|
"Biztanleria eta demografia"|"Biztanleria"|"-"|"70-74 urte arteko Emakumezkoak"|
"Biztanleria eta demografia"|"Biztanleria"|"-"|"75-79 urte arteko Emakumezkoak"|
"Biztanleria eta demografia"|"Biztanleria"|"-"|"80-84 urte arteko Emakumezkoak"|
"Biztanleria eta demografia"|"Biztanleria"|"-"|"85 urte eta gehiagoko Emakumezkoak"|
"Biztanleria eta demografia"|"Biztanleria"|"-"|"Porcentaje de población total de 16 a 64 años"|
"Biztanleria eta demografia"|"Demografia adierazleak"|"-"|"Biztanleriaren dentsitatea (biz/km²)"|
"Biztanleria eta demografia"|"Demografia adierazleak"|"-"|"Urte arteko biztanleriaren aldakuntza"|
"Biztanleria eta demografia"|"Demografia adierazleak"|"-"|"Bizi-itxaropena jaiotzean: Gizonezkoak"|
"Biztanleria eta demografia"|"Demografia adierazleak"|"-"|"Bizi-itxaropena jaiotzean: Emakumezkoak"|
"Biztanleria eta demografia"|"Demografia adierazleak"|"-"|"Mendekotasun adierazlea ((biz. < 15 + biz > 64) / biz. 15tik 64ra) x 100"|
"Biztanleria eta demografia"|"Demografia adierazleak"|"-"|"Zahartze adierazlea (biz. > 64 / biz. orokorra) x 100"|
"Biztanleria eta demografia"|"Demografia adierazleak"|"-"|"Gainzahartze adierazlea (75 eta gehiagoko biz./65 eta gehiagoko biz.) x 100"|
"Biztanleria eta demografia"|"Demografia adierazleak"|"-"|"Amatasun adierazlea ( 0-4 biz/15-49 arteko emakumezkoak) x 100"|
"Biztanleria eta demografia"|"Demografia adierazleak"|"-"|"Joera adierazlea (0-4 biz/5-9 biz) x 100"|
"Biztanleria eta demografia"|"Demografia adierazleak"|"-"|"Ordezkapen adierazlea (20-29 biz/55-64 biz) x 100"|
"Biztanleria eta demografia"|"Demografia adierazleak"|"-"|"Haur adierazlea (0-14 biz/biz. orokorra) x 100"|
"Biztanleria eta demografia"|"Atzerriko biztanleria"|"-"|"Biztanle Atzerritarrak Orotara"|
"Biztanleria eta demografia"|"Atzerriko biztanleria"|"-"|"Biztanle Atzerritarrak: Gizonezkoak"|
"Biztanleria eta demografia"|"Atzerriko biztanleria"|"-"|"Biztanle Atzerritarrak: Emakumezkoak"|
"Biztanleria eta demografia"|"Atzerriko biztanleria"|"-"|"Biztanle Atzerritarrak: Europa"|
"Biztanleria eta demografia"|"Atzerriko biztanleria"|"-"|"Biztanle Atzerritarrak: Afrika"|
"Biztanleria eta demografia"|"Atzerriko biztanleria"|"-"|"Biztanle Atzerritarrak: Amerika"|
"Biztanleria eta demografia"|"Atzerriko biztanleria"|"-"|"Biztanle Atzerritarrak: Asia"|
"Biztanleria eta demografia"|"Atzerriko biztanleria"|"-"|"Biztanle Atzerritarrak: Ozeania eta aberrigabeak"|
"Biztanleria eta demografia"|"Atzerriko biztanleria"|"-"|"Europako Atzerritar Biztanleak: Europar Batasuna (27)"|
"Biztanleria eta demografia"|"Atzerriko biztanleria"|"-"|"Europako Atzerritar Biztanleak: Gainontzeko Europarrak"|
"Biztanleria eta demografia"|"Atzerriko biztanleria"|"-"|"Biztanle Atzerritarrak: Gizonezkoak-Europa"|
"Biztanleria eta demografia"|"Atzerriko biztanleria"|"-"|"Biztanle Atzerritarrak: Gizonezkoak-Afrika"|
"Biztanleria eta demografia"|"Atzerriko biztanleria"|"-"|"Biztanle Atzerritarrak: Gizonezkoak-Amerika"|
"Biztanleria eta demografia"|"Atzerriko biztanleria"|"-"|"Biztanle Atzerritarrak: Gizonezkoak-Asia"|
"Biztanleria eta demografia"|"Atzerriko biztanleria"|"-"|"Biztanle Atzerritarrak: Gizonezkoak-Ozeania eta aberrigabeak"|
"Biztanleria eta demografia"|"Atzerriko biztanleria"|"-"|"Europako Biztanle Atzerritarrak: Gizonezkoak-Europar Batasuna (27)"|
"Biztanleria eta demografia"|"Atzerriko biztanleria"|"-"|"Europako Biztanle Atzerritarrak: Gizonezkoak-Gainontzeko Europa"|
"Biztanleria eta demografia"|"Atzerriko biztanleria"|"-"|"Biztanle Atzerritarrak: Emakumezkoak-Europa"|
"Biztanleria eta demografia"|"Atzerriko biztanleria"|"-"|"Biztanle Atzerritarrak: Emakumezkoak-Afrika"|
"Biztanleria eta demografia"|"Atzerriko biztanleria"|"-"|"Biztanle Atzerritarrak: Emakumezkoak-Amerika"|
"Biztanleria eta demografia"|"Atzerriko biztanleria"|"-"|"Biztanle Atzerritarrak: Emakumezkoak-Asia"|
"Biztanleria eta demografia"|"Atzerriko biztanleria"|"-"|"Biztanle Atzerritarrak:Emakumezkoak-Ozeania eta aberrigabeak"|
"Biztanleria eta demografia"|"Atzerriko biztanleria"|"-"|"Europako Biztanle Atzerritarrak: Emakumezkoak-Europar Batasuna (27)"|
"Biztanleria eta demografia"|"Atzerriko biztanleria"|"-"|"Europako Biztanle Atzerritarrak: Emakumezkoak-Gainontzeko Europa"|
"Biztanleria eta demografia"|"Atzerriko biztanleria"|"-"|"Biztanleria Atzerritarra: 16 Urtetik beherakoak"|
"Biztanleria eta demografia"|"Atzerriko biztanleria"|"-"|"Biztanleria Atzerritarra: 16 eta 64 urte bitartekoak"|
"Biztanleria eta demografia"|"Atzerriko biztanleria"|"-"|"Biztanleria Atzerritarra: 65 urtekoak eta gehiagokoak"|
"Biztanleria eta demografia"|"Atzerriko biztanleria"|"-"|"Biztanleria Atzerritarra: 16 urtetik beherako gizonezkoak"|
"Biztanleria eta demografia"|"Atzerriko biztanleria"|"-"|"Biztanleria Atzerritarra: 16 eta 64 urte bitarteko gizonezkoak"|
"Biztanleria eta demografia"|"Atzerriko biztanleria"|"-"|"Biztanleria Atzerritarra: 65 urteko eta gehiagoko gizonezkoak"|
"Biztanleria eta demografia"|"Atzerriko biztanleria"|"-"|"Biztanleria Atzerritarra: 16 urtetik beherako emakumezkoak"|
"Biztanleria eta demografia"|"Atzerriko biztanleria"|"-"|"Biztanleria Atzerritarra: 16 eta 64 urte bitarteko emakumezkoak"|
"Biztanleria eta demografia"|"Atzerriko biztanleria"|"-"|"Biztanleria Atzerritarra: 65 urteko eta gehiagoko emakumezkoak"|
"Biztanleria eta demografia"|"Atzerriko biztanleria"|"-"|"Porcentaje de población extranjera"|
"Biztanleria eta demografia"|"Biztanleria jaioterriaren arabera"|"-"|"Biztanleria jaioterriaren arabera: Espainia"|
"Biztanleria eta demografia"|"Biztanleria jaioterriaren arabera"|"-"|"Biztanleria jaioterriaren arabera: Erkidego berbera"|
"Biztanleria eta demografia"|"Biztanleria jaioterriaren arabera"|"-"|"Biztanleria jaioterriaren arabera: Erkidego berbera eta herrialde berbera"|
"Biztanleria eta demografia"|"Biztanleria jaioterriaren arabera"|"-"|"Biztanleria jaioterriaren arabera: Udalerri berbera"|
"Biztanleria eta demografia"|"Biztanleria jaioterriaren arabera"|"-"|"Biztanleria jaioterriaren arabera: Erkidego berbera, herrialde berbera eta beste udalerri bat"|
"Biztanleria eta demografia"|"Biztanleria jaioterriaren arabera"|"-"|"Biztanleria jaioterriaren arabera: Erkidego berbera, beste herrialde bat"|
"Biztanleria eta demografia"|"Biztanleria jaioterriaren arabera"|"-"|"Biztanleria jaioterriaren arabera: Beste erkidego bat"|
"Biztanleria eta demografia"|"Biztanleria jaioterriaren arabera"|"-"|"Biztanleria jaioterriaren arabera: Atzerria"|
"Biztanleria eta demografia"|"Biztanleriaren berezko mugimendua"|"-"|"Jaiotzak"|
"Biztanleria eta demografia"|"Biztanleriaren berezko mugimendua"|"-"|"Heriotzak"|
"Biztanleria eta demografia"|"Biztanleriaren berezko mugimendua"|"-"|"Ezkontzak"|
"Biztanleria eta demografia"|"Biztanleriaren berezko mugimendua"|"-"|"Hazkunde begetatiboa"|
"Biztanleria eta demografia"|"Biztanleriaren berezko mugimendua"|"-"|"Jaiotze-tasa gordina (biztanle %)"|
"Biztanleria eta demografia"|"Biztanleriaren berezko mugimendua"|"-"|"Heriotza-tasa gordina (biztanle %)"|
"Biztanleria eta demografia"|"Biztanleriaren berezko mugimendua"|"-"|"Ezkontza-tasa (biztanle %)"|
"Biztanleria eta demografia"|"Biztanleriaren berezko mugimendua"|"-"|"Ugalkortasun-tasa orokorra (jaiotakoak/15-49 emakumezkoak( (biztanle %)"|
"Biztanleria eta demografia"|"Biztanleria egoera zibilaren arabera"|"-"|"Biztanleria egoera zibilaren arabera: Ezkongabeak"|
"Biztanleria eta demografia"|"Biztanleria egoera zibilaren arabera"|"-"|"Biztanleria egoera zibilaren arabera: Ezkonduak"|
"Biztanleria eta demografia"|"Biztanleria egoera zibilaren arabera"|"-"|"Biztanleria egoera zibilaren arabera: Alargunak"|
"Biztanleria eta demografia"|"Biztanleria egoera zibilaren arabera"|"-"|"Biztanleria egoera zibilaren arabera: Bananduak"|
"Biztanleria eta demografia"|"Biztanleria egoera zibilaren arabera"|"-"|"Biztanleria egoera zibilaren arabera: Dibortziatuak"|
"Biztanleria eta demografia"|"Familiak"|"-"|"Guraso bakarreko familia kopurua"|
"Biztanleria eta demografia"|"Familiak"|"-"|">65 urtetik bakarrik bizi diren pertsonak: Gizonezkoak"|
"Biztanleria eta demografia"|"Familiak"|"-"|">65 urtetik bakarrik bizi diren pertsonak: Emakumezkoak"|
"Biztanleria eta demografia"|"Migrazio mugimenduak"|"-"|"Immigrazioa (EAEtik kanpokoa)"|
"Biztanleria eta demografia"|"Migrazio mugimenduak"|"-"|"Emigrazioa (EAEtik kanpokoa)"|
"Biztanleria eta demografia"|"Migrazio mugimenduak"|"-"|"Kanpo migrazio-saldoa"|
"Biztanleria eta demografia"|"Migrazio mugimenduak"|"-"|"Barne migrazioen jomuga (EAEko beste udalerri batetik iritsiak)"|
"Biztanleria eta demografia"|"Migrazio mugimenduak"|"-"|"Barne migrazioen jatorria (EAEko beste udalerri batera joanak)"|
"Biztanleria eta demografia"|"Migrazio mugimenduak"|"-"|"Barne migrazio-saldoa"|
"Biztanleria eta demografia"|"Migrazio mugimenduak"|"-"|"Udalerri barneko migrazioak (Egoitza aldatzea udalerriaren barruan)"|
"Hirigintza eta etxebizitza"|"Eraikinak"|"-"|"Eraikin guztiak"|
"Hirigintza eta etxebizitza"|"Eraikinak"|"-"|"Etxebizitza familiar bateko eraikinak"|
"Hirigintza eta etxebizitza"|"Eraikinak"|"-"|"Etxebizitza familiar batzuetako eraikinak"|
"Hirigintza eta etxebizitza"|"Eraikinak"|"-"|"Batez ere etxebizitza familiarretako eraikinak hainbat lokalekin"|
"Hirigintza eta etxebizitza"|"Eraikinak"|"-"|"Batez ere lokaletako eraikinak etxebizitzaren batekin"|
"Hirigintza eta etxebizitza"|"Eraikinak"|"-"|"Batez ere lokaletako eraikinak"|
"Hirigintza eta etxebizitza"|"Eraikinak"|"-"|"Batez ere etxebitza kolektiboetako eraikinak"|
"Hirigintza eta etxebizitza"|"Eraikinak"|"-"|"Batez ere ostatatzeko eraikinak"|
"Hirigintza eta etxebizitza"|"Eraikinak"|"-"|"Eraikinak egoera onean"|
"Hirigintza eta etxebizitza"|"Eraikinak"|"-"|"Eraikinak egoera eskasean"|
"Hirigintza eta etxebizitza"|"Eraikinak"|"-"|"Eraikinak egoera txarrean"|
"Hirigintza eta etxebizitza"|"Eraikinak"|"-"|"Eraikinak hondamendi egoeran"|
"Hirigintza eta etxebizitza"|"Eraikinak"|"-"|"Eraikin eta ekipamendu irisgarrien %"|
"Hirigintza eta etxebizitza"|"Etxebizitzak"|"-"|"Etxebizitza guztiak"|
"Hirigintza eta etxebizitza"|"Etxebizitzak"|"-"|"Etxebizitza familiarrak"|
"Hirigintza eta etxebizitza"|"Etxebizitzak"|"-"|"Etxebizitza kolektiboak"|
"Hirigintza eta etxebizitza"|"Etxebizitzak"|"-"|"Etxebizitza familiar nagusiak"|
"Hirigintza eta etxebizitza"|"Etxebizitzak"|"-"|"Etxebizitza familiar nagusiak: Ohikoak"|
"Hirigintza eta etxebizitza"|"Etxebizitzak"|"-"|"Etxebizitza familiar nagusiak: Ostatuak"|
"Hirigintza eta etxebizitza"|"Etxebizitzak"|"-"|"Etxebizitza familiar nagusiak ez direnak"|
"Hirigintza eta etxebizitza"|"Etxebizitzak"|"-"|"Etxebizitza familiar nagusiak ez direnak: Bigarren mailakoak"|
"Hirigintza eta etxebizitza"|"Etxebizitzak"|"-"|"Etxebizitza familiar nagusiak ez direnak: Hutsak"|
"Hirigintza eta etxebizitza"|"Etxebizitzak"|"-"|"Etxebizitza familiar nagusiak ez direnak: Bestelakoak"|
"Hirigintza eta etxebizitza"|"Familia etxebizitzak"|"-"|"Txorrotako ura daukaten etxebizitza nagusien %"|
"Hirigintza eta etxebizitza"|"Familia etxebizitzak"|"-"|"Ur bero zentrala daukaten etxebizitza nagusien %"|
"Hirigintza eta etxebizitza"|"Familia etxebizitzak"|"-"|"Berokuntza daukaten etxebizitza nagusien %"|
"Hirigintza eta etxebizitza"|"Familia etxebizitzak"|"-"|"Telefonoa daukaten etxebizitza nagusien %"|
"Hirigintza eta etxebizitza"|"Familia etxebizitzak"|"-"|"Tutu bidezko gasa daukaten etxebizitza nagusien %"|
"Hirigintza eta etxebizitza"|"Familia etxebizitzak"|"-"|"Etxebizitzetako erosotasun adierazlea"|
"Hirigintza eta etxebizitza"|"Familia etxebizitzak"|"-"|"Etxebizitza familiarrak hiri-gunean"|
"Hirigintza eta etxebizitza"|"Familia etxebizitzak"|"-"|"Etxebizitza familiarrak tarteko gunean"|
"Hirigintza eta etxebizitza"|"Familia etxebizitzak"|"-"|"Etxebizitza familiarrak landa-gunean"|
"Hirigintza eta etxebizitza"|"Familia etxebizitzak"|"-"|"Etxebizitza familiar nagusiak hiri-gunean"|
"Hirigintza eta etxebizitza"|"Familia etxebizitzak"|"-"|"Etxebizitza familiar nagusiak tarteko gunean"|
"Hirigintza eta etxebizitza"|"Familia etxebizitzak"|"-"|"Etxebizitza familiar nagusiak landa-gunean"|
"Hirigintza eta etxebizitza"|"Familia etxebizitzak"|"-"|"Etxebizitza familiar ez nagusiak hiri-gunean"|
"Hirigintza eta etxebizitza"|"Familia etxebizitzak"|"-"|"Etxebizitza familiar ez nagusiak tarteko gunean"|
"Hirigintza eta etxebizitza"|"Familia etxebizitzak"|"-"|"Etxebizitza familiar ez nagusiak landa-gunean"|
"Hirigintza eta etxebizitza"|"Babestutako etxebizitzak"|"-"|"Hasitako etxebizitza babestuak"|
"Hirigintza eta etxebizitza"|"Babestutako etxebizitzak"|"-"|"Hasitako etxebizitza babestuak: Babes ofizialekoak"|
"Hirigintza eta etxebizitza"|"Babestutako etxebizitzak"|"-"|"Hasitako etxebizitza babestuak: Etxebizitza sozialak"|
"Hirigintza eta etxebizitza"|"Babestutako etxebizitzak"|"-"|"Bukatutako etxebizitza babestuak"|
"Hirigintza eta etxebizitza"|"Babestutako etxebizitzak"|"-"|"Bukatutako etxebizitza babestuak: Babes ofizialekoak"|
"Hirigintza eta etxebizitza"|"Babestutako etxebizitzak"|"-"|"Bukatutako etxebizitza babestuak: Etxebizitza sozialak"|
"Hirigintza eta etxebizitza"|"Babestutako etxebizitzak"|"-"|"Etxebiden dauden etxebizitza eskaera (biz ‰)"|
"Hirigintza eta etxebizitza"|"Babestutako etxebizitzak"|"-"|"Etxebidek esleitutako BOEak azken bost urteetan (biz ‰)"|
"Hirigintza eta etxebizitza"|"Etxebizitzaren batez besteko salneurria"|"-"|"Etxebizitza librearen batez besteko prezioa (berria eta erabilia) (€ / m²)"|
"Hirigintza eta etxebizitza"|"Etxebizitzaren batez besteko salneurria"|"-"|"BO etxebizitza berriaren batez besteko prezioa (€ / m²)"|
"Hirigintza eta etxebizitza"|"Etxebizitzaren batez besteko salneurria"|"-"|"Etxebizitza libre berriaren batez besteko prezioa (€ / m²)"|
"Hirigintza eta etxebizitza"|"Etxebizitzaren batez besteko salneurria"|"-"|"Etxebizitza erabiliaren batez besteko prezioa (€ / m²)"|
"Hirigintza eta etxebizitza"|"Etxeak"|"-"|"Etxe guztiak"|
"Hirigintza eta etxebizitza"|"Etxeak"|"-"|"Erositako jabetzako etxeak, erabat ordainduta"|
"Hirigintza eta etxebizitza"|"Etxeak"|"-"|"Erositako jabetzako etxeak, ordaindu gabe"|
"Hirigintza eta etxebizitza"|"Etxeak"|"-"|"Erositako jabetzako etxeak, herentziaz edo emariz"|
